iter	Passed	Remaining
710	1272	517
711	1274	515
712	1275	513
713	1277	511
714	1279	510
715	1281	508
716	1283	506
717	1284	504
718	1286	502
719	1287	500
720	1288	498
721	1290	496
722	1291	494
723	1293	493
724	1296	491
725	1298	489
726	1299	488
727	1301	486
728	1303	484
729	1305	482
730	1307	481
731	1309	479
732	1311	477
733	1313	475
734	1314	473
735	1316	472
736	1317	470
737	1319	468
738	1321	466
739	1323	464
740	1325	463
741	1326	461
742	1328	459
743	1330	457
744	1332	455
745	1333	454
746	1335	452
747	1337	450
748	1339	448
749	1341	447
750	1343	445
751	1344	443
752	1347	441
753	1348	440
754	1350	438
755	1352	436
756	1354	434
757	1356	432
758	1357	431
759	1359	429
760	1361	427
761	1362	425
762	1364	423
763	1366	422
764	1368	420
765	1370	418
766	1372	416
767	1373	414
768	1375	413
769	1377	411
770	1379	409
771	1381	407
772	1383	406
773	1384	404
774	1386	402
775	1388	400
776	1390	399
777	1392	397
778	1394	395
779	1395	393
780	1397	391
781	1399	390
782	1401	388
783	1402	386
784	1404	384
785	1406	382
786	1408	381
787	1409	379
788	1411	377
789	1413	375
790	1415	374
791	1417	372
792	1419	370
793	1420	368
794	1422	366
795	1424	365
796	1426	363
797	1427	361
798	1429	359
799	1431	357
800	1433	356
801	1434	354
802	1437	352
803	1438	350
804	1440	348
805	1442	347
806	1444	345
807	1445	343
808	1447	341
809	1449	339
810	1451	338
811	1453	336
812	1454	334
813	1456	332
814	1458	331
815	1460	329
816	1461	327
817	1463	325
818	1465	323
819	1467	322
820	1469	320
821	1470	318
822	1472	316
823	1475	315
824	1476	313
825	1478	311
826	1480	309
827	1482	307
828	1484	306
829	1486	304
830	1488	302
831	1490	300
832	1491	299
833	1493	297
834	1495	295
835	1497	293
836	1498	291
837	1500	290
838	1502	288
839	1504	286
840	1506	284
841	1508	283
842	1509	281
843	1511	279
844	1513	277
845	1515	275
846	1516	273
847	1518	272
848	1520	270
849	1521	268
850	1523	266
851	1525	264
852	1527	263
853	1529	261
854	1530	259
855	1532	257
856	1534	256
857	1535	254
858	1537	252
859	1539	250
860	1541	248
861	1542	247
862	1544	245
863	1546	243
864	1548	241
865	1549	239
866	1551	238
867	1553	236
868	1554	234
869	1556	232
870	1558	230
871	1559	228
872	1561	227
873	1563	225
874	1565	223
875	1567	221
876	1568	220
877	1570	218
878	1572	216
879	1574	214
880	1575	212
881	1577	211
882	1580	209
883	1581	207
884	1583	205
885	1584	203
886	1586	202
887	1587	200
888	1589	198
889	1591	196
890	1593	194
891	1594	193
892	1596	191
893	1598	189
894	1600	187
895	1601	185
896	1603	184
897	1605	182
898	1607	180
899	1608	178
900	1610	177
901	1612	175
902	1614	173
903	1616	171
904	1618	169
905	1620	168
906	1621	166
907	1623	164
908	1625	162
909	1627	160
910	1628	159
911	1630	157
912	1632	155
913	1634	153
914	1635	151
915	1637	150
916	1639	148
917	1641	146
